es_name;desc;target;place;type;recupero;ripetizioni
Lat Pulldown;Il Lat Pulldown è un esercizio di sollevamento pesi che viene utilizzato principalmente per sviluppare la muscolatura del dorso, in particolare i muscoli latissimus dorsi (anche chiamati "lats"), ma coinvolge anche altri muscoli come i trapezi, i deltoidi posteriori e i bicipiti. ;Schiena;Palestra;Bilancere;1-2min;2x8-12
Back Extension;Il Back Extension (o iperestensione) è un esercizio di sollevamento pesi che viene utilizzato per rafforzare la muscolatura della parte bassa della schiena, in particolare i muscoli erettori spinali. L'esercizio viene eseguito solitamente utilizzando una panca specifica per il Back Extension, sulla quale ci si sdraia a pancia in giù con i piedi fermati a terra o bloccati sotto dei rulli. Tenendo le mani dietro la testa o incrociate sul petto, ci si solleva lentamente dalla panca usando la forza della muscolatura della schiena e dei glutei, mantenendo la colonna vertebrale in una posizione neutra e senza piegare il collo.;Schiena;Palestra;Bilancere;1min;3x8
Suspended Row;La Suspended Row (o "fila sospesa") è un esercizio di allenamento con il peso corporeo che utilizza una sospensione, come un TRX o una fascia elastica, per eseguire una fila con il proprio peso corporeo. L'esercizio coinvolge principalmente i muscoli della schiena, tra cui i muscoli del trapezio, del dorso, dei romboidi e dei bicipiti.;Schiena;Palestra;CorpoLibero;1-2min;3x8
Wood Chop;Il Wook Chop è un esercizio che prevedere di tenere una palla medica o un manubrio sopra la spalla e piegarsi lateralmente, portando il peso verso il ginocchio opposto. Risalire in posizione eretta portando il peso sopra la spalla opposta.;Schiena;Palestra;Bilancere;1-2min;2x8-12
Good Morning;Il Good Morning è un esercizio di sollevamento pesi che viene utilizzato principalmente per sviluppare i muscoli della parte posteriore della coscia (i muscoli ischio-crurali) e i muscoli del gluteo. L'esercizio prevede di posizionarsi con la barra poggiata dietro il collo e le spalle, piegare il busto in avanti fino ad un angolo di circa 90 gradi e poi tornare in posizione eretta. Il nome dell'esercizio deriva dall'idea di salutare (buongiorno, in inglese) inclinandosi in avanti come si farebbe in una tradizionale stretta di mano.;Gambe;Palestra;Bilancere;60-90sec;2x10
Quadruped Dumbbell Row;Il Quadruped Dumbbell Row è un esercizio di allenamento per la schiena che prevede l'utilizzo di manubri (dumbbell) mentre si è posizionati a quattro zampe (quadruped). Questo esercizio coinvolge principalmente i muscoli della schiena, tra cui i muscoli del trapezio, del dorso, dei romboidi e dei bicipiti.;Schiena;Palestra;Manubrio;2min;2x8
Wide Dumbbell Bent-Over Row;Il Wide dumbbell bent-over row è un esercizio di sollevamento pesi che mira a sviluppare la forza e la muscolatura della schiena, dei deltoidi posteriori e dei bicipiti. Per eseguire l'esercizio, hai bisogno di due manubri e di una panca. Ti pieghi in avanti a circa 45 gradi, con la schiena dritta e il busto parallelo al pavimento. Tieni i manubri con le braccia estese verso il basso, i palmi delle mani rivolti verso il basso. Solleva i manubri verso le ascelle, piegando i gomiti e portando i manubri il più vicino possibile al tuo corpo, mantenendo la schiena dritta e le spalle retratte.;Schiena;Palestra;Manubrio;2min;2x8
Dumbbell Front Raise;Il Dumbbell Front Raise è un esercizio di isolamento per i muscoli deltoidi anteriori, ovvero la parte anteriore delle spalle. Questo esercizio consiste nell'elevare i manubri dritti davanti al corpo fino all'altezza delle spalle, mantenendo i gomiti leggermente piegati.;Braccia;Palestra;Manubrio;1-2min;3x10-12
Dumbbell Lateral Raise;Il Dumbbell Lateral Raise è un esercizio di sollevamento pesi che mira a sviluppare i muscoli delle spalle, in particolare i deltoidi laterali. Per eseguire l'esercizio, hai bisogno di un paio di manubri. Tieni i manubri con le braccia distese lungo i fianchi, con i palmi delle mani rivolti verso il corpo. Solleva i manubri lateralmente, mantenendo le braccia dritte, fino a quando i manubri raggiungono circa l'altezza delle spalle. Poi abbassa i manubri lentamente fino alla posizione di partenza.;Braccia;Palestra;Manubrio;1-2min;2x10
Reverse Fly;Il Reverse Fly (o Reverse Flye) è un esercizio di isolamento che mira a rafforzare i muscoli delle spalle, in particolare il deltoide posteriore. L'esercizio prevede di stare in piedi con un manubrio in ciascuna mano e le braccia lungo i fianchi. Piegarvi leggermente in avanti dalla vita e sollevare lentamente i manubri verso i lati fino a quando le braccia sono orizzontali e parallele al pavimento. Tornare lentamente alla posizione di partenza.;Braccia;Palestra;Manubrio;1-2min;3x10
